S;Sigla;Codigo;Estado;Região;CodigoReg;PIB;Gini;Agua;Banheiro;Lixo;Energia;Densidade;Esperancadevida;Populacao;Mortalidade_infantil;Prob_sobrevivencia;IDH;IDH_Renda;IDH_Longevidade;IDH_Educacao;Probab_sobrev60;TFT;Taxa_envelhecimento;Taxa_analfabetismo;frequencia_liquida_EM;Expectativa_anos_de_estudo;frequencia_liquida_Superior;perc_com_2_anos_de_de_atraso;Renda_per_capita;Renda_per_capita_nula;Perc_pobres;Perc_extremamente_pobres;Despesa_Corrente;Despesa_Corrente_per_capita
AC;AC;12;Acre;Norte;N;9.629.239;0,63;86,51;47,42;93,63;91,14;46,05;71,63;733559;23,01;94,62;0,663;0,671;0,777;0,559;84,53;2,95;4,32;21,29;48,45;8,69;10,5;22,57;522,15;550,76;29,46;22,69;2.739.927.889;3735,115906
AL;AL;27;Alagoas;Nordeste;NE;29.544.708;0,63;77,56;75,64;96,16;98,98;35,04;70,32;3120494;28,4;93,36;0,631;0,641;0,755;0,52;82,31;2,22;6,01;30,57;36,86;9,07;9,18;27,34;432,56;439,17;34,29;24,77;4.408.229.588;1412,670426
AM;AM;13;Amazonas;Norte;N;64.119.836;0,65;77,32;62,16;92,98;92,18;57,95;73,3;3483985;17,01;96,03;0,674;0,677;0,805;0,561;87,24;2,59;4,03;12,3;39,09;8,54;10,06;26,68;539,8;565,89;30,78;23,38;7.778.802.887;2232,731452
AP;AP;16;Amapa;Norte;N;10.419.539;0,6;91,44;66,38;96,38;98,27;53,98;73,8;669526;15,14;96,47;0,708;0,694;0,813;0,629;88,14;2,48;3,44;11,2;50,97;9,44;12,95;22,08;598,98;609,44;24,07;14,45;2.317.897.869;3461,998292
BA;BA;29;Bahia;Nordeste;NE;167.727.375;0,62;85,66;77,6;95,35;96,45;27,91;71,97;14016906;21,73;94,92;0,66;0,663;0,783;0,555;85,09;2,05;7,23;20,92;40,53;8,63;7,86;29,8;496,73;503,15;28,72;21,24;21.502.299.427;1534,026084
CE;CE;23;Ceara;Nordeste;NE;90.131.724;0,61;86,08;76,28;93,56;99,08;34,13;72,6;8452381;19,29;95,5;0,682;0,651;0,793;0,615;86,2;1,99;7,54;23,95;52,18;9,82;9,68;18,54;460,63;465,38;30,32;22,38;12.325.234.404;1458,196738
DF;DF;53;Distrito Federal;Centro-Oeste;MW;171.235.534;0,63;98,13;96,01;98,87;99,91;23,48;77,35;2570160;14,01;94,57;0,824;0,863;0,873;0,742;86,19;1,75;4,97;4,31;63,19;9,87;24,55;16,29;1715,11;1716,52;4,93;2,24;10.981.410.590;4272,656407
ES;ES;32;Espirito Santo;Sudeste;SE;107.328.771;0,56;96,45;96,89;97,93;99,83;20,59;75,1;3514952;14,15;92,57;0,74;0,743;0,835;0,653;82,28;1,8;7,08;10,15;56,33;9,36;14,86;17,05;815,43;818,9;9,53;4,72;9.689.078.646;2756,532279
GO;GO;52;Goias;Centro-Oeste;MW;123.926.301;0,55;96,76;93,66;98,65;99,39;19,26;74,6;6003788;13,96;93,33;0,735;0,742;0,827;0,646;82,69;1,87;6,25;10,06;58,28;9,72;16,32;15,98;810,97;814,76;7,59;3,75;12.818.102.561;2135,002528
MA;MA;21;Maranhao;Nordeste;NE;58.819.683;0,62;82,12;51,79;79,08;96,1;42,7;70,4;6574789;28,03;93,45;0,639;0,612;0,757;0,562;82,45;2,56;6,02;27,15;44,49;9,26;6,97;25,18;360,34;373,4;39,53;31,42;7.376.867.858;1121,993095
