"ordem","pid","moradia_classe","moradia_zoneamento","lote_fachada","lote_area","rua_tipo","beco_tipo","lote_formato","terreno_contorno","utilidades","lote_config","terreno_declive","vizinhanca","condicao_1","condicao_2","moradia_tipo","moradia_estilo","geral_qualidade","geral_condicao","construcao_ano","remodelacao_ano","telhado_estilo","telhado_material","exterior_cobertura_1","exterior_cobertura_2","alvenaria_tipo","alvenaria_area","exterior_qualidade","exterior_condicao","fundacao_tipo","porao_qualidade","porao_condicao","porao_exposicao","porao_acabamento_1","porao_area_com_acabamento_1","porao_acabamento_2","porao_area_com_acabamento_2","porao_area_sem_acabamento","porao_area_total","porao_num_banheiros","porao_num_banheiros_lavabos","aquecimento_tipo","aquecimento_qualidade_condicao","ar_condicionado_central","sistema_eletrico_tipo","primeiro_andar_area","segundo_andar_area","acabamento_baixa_qualidade_area","acima_solo_area","acima_solo_num_banheiros","acima_solo_num_lavabos","acima_solo_num_quartos","acima_solo_num_cozinhas","cozinha_qualidade","acima_solo_num_comodos","funcional","total_num_lareiras","lareira_qualidade","garagem_tipo","garagem_ano_construcao","garagem_acabamento","garagem_capacidade_carros","garagem_area","garagem_qualidade","garagem_condicao","entrada_veiculo_pavimentada","deck_madeira_area","varanda_aberta_area","varanda_fechada_area","varanda_3ssn_area","varanda_com_tela_area","piscina_area","piscina_qualidade","cerca_qualidade","funcionalidades_diversas","funcionalidades_valor","venda_mes","venda_ano","venda_tipo","venda_condicao","venda_valor"
1,"0526301100","020","Residencial baixa densidade",141,31770,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","NAmes","normal","normal","família única","um andar","acima da média","média",1960,1960,"quadril","telha padrão (composto)","face de tijolo","madeirra compensada","pedra",112,"m\u00e9dia","média","bloco de concreto","média","boa","exposição boa","alojamento abaixo da média",639,"não finalizado",0,441,1080,1,0,"forno de ar quente a gás","regular","Y","disjuntores padrão e Romex",1656,0,0,1656,1,0,3,1,"média",7,"funcionalidade típica",2,"boa","anexada à casa",1960,"terminada",2,528,"média","média","parcialmente pavimentada",210,62,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","venda normal",215000
2,"0526350040","020","Residencial alta densidade",80,11622,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","NAmes","adjacente a rua alimentadora","normal","família única","um andar","média","acima da média",1961,1961,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","No","sala de recreação média",468,"baixa qualidade",144,270,882,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",896,0,0,896,1,0,2,1,"média",5,"funcionalidade típica",0,NA,"anexada à casa",1961,"não terminada",1,730,"média","média","Y",140,0,0,0,120,0,NA,"mínima privacidade",NA,0,6,2010,"WD ","venda normal",105000
3,"0526351010","020","Residencial baixa densidade",81,14267,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","NAmes","normal","normal","família única","um andar","acima da média","acima da média",1958,1958,"quadril","telha padrão (composto)","tapume de madeira","tapume de madeira","face de tijolo",108,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento médio",923,"não finalizado",0,406,1329,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",1329,0,0,1329,1,1,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",1958,"não terminada",1,312,"média","média","Y",393,36,0,0,0,0,NA,NA,"segunda garagem",12500,6,2010,"WD ","venda normal",172000
4,"0526353030","020","Residencial baixa densidade",93,11160,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","NAmes","normal","normal","família única","um andar","boa","média",1968,1968,"quadril","telha padrão (composto)","face de tijolo","face de tijolo","nenhum",0,"boa","média","bloco de concreto","média","média","No","alojamento médio",1065,"não finalizado",0,1045,2110,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",2110,0,0,2110,2,1,3,1,"excelente",8,"funcionalidade típica",2,"média","anexada à casa",1968,"terminada",2,522,"média","média","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","venda normal",244000
5,"0527105010","060","Residencial baixa densidade",74,13830,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Gilbert","normal","normal","família única","dois andares","média","média",1997,1998,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","concreto derrramado","boa","média","No","alojamento bom",791,"não finalizado",0,137,928,0,0,"forno de ar quente a gás","boa","Y","disjuntores padrão e Romex",928,701,0,1629,2,1,3,1,"média",6,"funcionalidade típica",1,"média","anexada à casa",1997,"terminada",2,482,"média","média","Y",212,34,0,0,0,0,NA,"mínima privacidade",NA,0,3,2010,"WD ","venda normal",189900
6,"0527105030","060","Residencial baixa densidade",78,9978,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Gilbert","normal","normal","família única","dois andares","acima da média","acima da média",1998,1998,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",20,"m\u00e9dia","média","concreto derrramado","média","média","No","alojamento bom",602,"não finalizado",0,324,926,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",926,678,0,1604,2,1,3,1,"boa",7,"funcionalidade típica",1,"boa","anexada à casa",1998,"terminada",2,470,"média","média","Y",360,36,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","venda normal",195500
7,"0527127150","desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)","Residencial baixa densidade",41,4920,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Stone Brook","normal","normal","unidade interna de moradia","um andar","muito boa","média",2001,2001,"duas águas","telha padrão (composto)","placa de cimento","CmentBd","nenhum",0,"boa","média","concreto derrramado","boa","média","exposição mínima","alojamento bom",616,"não finalizado",0,722,1338,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1338,0,0,1338,2,0,2,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2001,"terminada",2,582,"média","média","Y",0,0,170,0,0,0,NA,NA,NA,0,4,2010,"WD ","venda normal",213500
8,"0527145080","desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)","Residencial baixa densidade",43,5005,"pavimentada",NA,"levemente irregular","encosta","todas as utilidades p\u00fablicas","lote interno","declive leve","Stone Brook","normal","normal","unidade interna de moradia","um andar","muito boa","média",1992,1992,"duas águas","telha padrão (composto)","placa dura","placa dura","nenhum",0,"boa","média","concreto derrramado","boa","média","No","alojamento médio",263,"não finalizado",0,1017,1280,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1280,0,0,1280,2,0,2,1,"boa",5,"funcionalidade típica",0,NA,"anexada à casa",1992,"acabamento grosseiro",2,506,"média","média","Y",0,82,0,0,144,0,NA,NA,NA,0,1,2010,"WD ","venda normal",191500
9,"0527146030","desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)","Residencial baixa densidade",39,5389,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Stone Brook","normal","normal","unidade interna de moradia","um andar","muito boa","média",1995,1996,"duas águas","telha padrão (composto)","placa de cimento","CmentBd","nenhum",0,"boa","média","concreto derrramado","boa","média","No","alojamento bom",1180,"não finalizado",0,415,1595,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1616,0,0,1616,2,0,2,1,"boa",5,"funcionalidade típica",1,"média","anexada à casa",1995,"acabamento grosseiro",2,608,"média","média","Y",237,152,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","venda normal",236500
10,"0527162130","060","Residencial baixa densidade",60,7500,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","Gilbert","normal","normal","família única","dois andares","boa","média",1999,1999,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","concreto derrramado","média","média","No","não finalizado",0,"não finalizado",0,994,994,0,0,"forno de ar quente a gás","boa","Y","disjuntores padrão e Romex",1028,776,0,1804,2,1,3,1,"boa",7,"funcionalidade típica",1,"média","anexada à casa",1999,"terminada",2,442,"média","média","Y",140,60,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","venda normal",189000
