"ano","estado_civil","idade","raca","renda","partido","religiao","denominacao","horas_tv"
2000,"Nunca casou",26,"Branca","US$ 8000 - 9999","Independente, inclinação republicana","Protestante","Batistas do sul",12
2000,"Divorciado(a)",48,"Branca","US$ 8000 - 9999","Não fortemente repubicano","Protestante","Batista, não sabe qual",NA
2000,"Viúvo(a)",67,"Branca","Não se aplica","Independente","Protestante","Sem denominação",2
2000,"Nunca casou",39,"Branca","Não se aplica","Independente, inclinação republicana","Cristã ortodoxa","Não se aplica",4
2000,"Divorciado(a)",25,"Branca","Não se aplica","Não fortemente democrata","Nenhuma","Não se aplica",1
2000,"Casado(a)",25,"Branca","US$ 20000 - 24999","Fortemente democrata","Protestante","Batistas do sul",NA
2000,"Nunca casou",36,"Branca","US$ 25000 ou mais","Não fortemente repubicano","Cristã","Não se aplica",3
2000,"Divorciado(a)",44,"Branca","US$ 7000 - 7999","Independente, inclinação democrata","Protestante","Sínodo luterano",NA
2000,"Casado(a)",44,"Branca","US$ 25000 ou mais","Não fortemente democrata","Protestante","Outra",0
2000,"Casado(a)",47,"Branca","US$ 25000 ou mais","Fortemente republicano","Protestante","Batistas do sul",3
2000,"Casado(a)",53,"Branca","US$ 25000 ou mais","Não fortemente democrata","Protestante","Outra",2
2000,"Casado(a)",52,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Nenhuma","Não se aplica",NA
2000,"Casado(a)",52,"Branca","US$ 25000 ou mais","Fortemente democrata","Protestante","Batistas do sul",1
2000,"Casado(a)",51,"Branca","US$ 25000 ou mais","Fortemente republicano","Protestante","Igreja metodista unida",NA
2000,"Divorciado(a)",52,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Nenhuma","Não se aplica",1
2000,"Casado(a)",40,"Negra","US$ 25000 ou mais","Fortemente democrata","Protestante","Batista, não sabe qual",7
2000,"Viúvo(a)",77,"Branca","Não se aplica","Fortemente republicano","Judaísmo","Não se aplica",NA
2000,"Nunca casou",44,"Branca","US$ 25000 ou mais","Independente","Nenhuma","Não se aplica",3
2000,"Casado(a)",40,"Branca","US$ 10000 - 14999","Não fortemente democrata","Católica","Não se aplica",3
2000,"Casado(a)",45,"Negra","Não se aplica","Independente","Protestante","Igreja metodista unida",NA
2000,"Casado(a)",48,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Católica","Não se aplica",1
2000,"Casado(a)",49,"Branca","Se negou a responder","Fortemente republicano","Protestante","Igreja metodista unida",2
2000,"Nunca casou",19,"Branca","Não se aplica","Independente","Nenhuma","Não se aplica",2
2000,"Viúvo(a)",54,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Cristã","Não se aplica",1
2000,"Viúvo(a)",82,"Branca","Não se aplica","Não fortemente democrata","Protestante","Outra",3
2000,"Viúvo(a)",83,"Branca","Não se aplica","Fortemente democrata","Protestante","Episcopal",NA
2000,"Viúvo(a)",89,"Branca","Não se aplica","Não fortemente democrata","Protestante","Outras luteranas",4
2000,"Viúvo(a)",88,"Branca","Não se aplica","Fortemente republicano","Protestante","Igreja africana metodista episcopal de Sion",NA
2000,"Divorciado(a)",72,"Branca","Não se aplica","Fortemente democrata","Protestante","Batistas do sul",7
2000,"Viúvo(a)",82,"Branca","Não se aplica","Independente","Protestante","Igrejas batistas dos EUA",NA
2000,"Viúvo(a)",89,"Branca","Não se aplica","Independente, inclinação republicana","Protestante","Outras metodistas",3
2000,"Casado(a)",34,"Branca","Se negou a responder","Não fortemente democrata","Católica","Não se aplica",NA
2000,"Casado(a)",55,"Negra","Não se aplica","Não fortemente democrata","Protestante","Outra",1
2000,"Nunca casou",37,"Branca","US$ 25000 ou mais","Independente","Nenhuma","Não se aplica",NA
2000,"Casado(a)",22,"Branca","US$ 10000 - 14999","Independente, inclinação democrata","Protestante","Outra",NA
2000,"Nunca casou",33,"Outra","US$ 20000 - 24999","Não fortemente democrata","Cristã","Não se aplica",NA
2000,"Nunca casou",37,"Branca","US$ 25000 ou mais","Independente, inclinação democrata","Nenhuma","Não se aplica",1
2000,"Nunca casou",43,"Branca","US$ 20000 - 24999","Independente","Católica","Não se aplica",4
2000,"Nunca casou",29,"Branca","US$ 25000 ou mais","Independente, inclinação republicana","Católica","Não se aplica",2
2000,"Nunca casou",57,"Branca","Se negou a responder","Fortemente republicano","Protestante","Batistas do sul",1
2000,"Casado(a)",31,"Branca","US$ 20000 - 24999","Independente, inclinação democrata","Nenhuma","Não se aplica",2
2000,"Casado(a)",45,"Branca","US$ 25000 ou mais","Independente","Católica","Não se aplica",NA
